000000 000000 [hunk] lha start:002000 end:00ef60
000001 000001 [args] e skid.lha_
000002 000002 [home] .
001a37 0020b8: 5380                : subq.l  #1, D0
001a38 0020ba: 66fa                : bne     $20b6
001a39 0020b6: 20dc                : move.l  (A4)+, (A0)+
001a3a 0020b8: 5380                : subq.l  #1, D0
001a3b 0020ba: 66fa                : bne     $20b6
001a3c 0020b6: 20dc                : move.l  (A4)+, (A0)+
001a89 0020b8: 5380                : subq.l  #1, D0
001a8a 0020ba: 66fa                : bne     $20b6
001a8b 0020b6: 20dc                : move.l  (A4)+, (A0)+
001a8c 0020b8: 5380                : subq.l  #1, D0
001a8d 0020ba: 66fa                : bne     $20b6
001a8e 0020b6: 20dc                : move.l  (A4)+, (A0)+
001adb 0020b8: 5380                : subq.l  #1, D0
001adc 0020ba: 66fa                : bne     $20b6
001add 0020b6: 20dc                : move.l  (A4)+, (A0)+
001ade 0020b8: 5380                : subq.l  #1, D0
001adf 0020ba: 66fa                : bne     $20b6
001ae0 0020b6: 20dc                : move.l  (A4)+, (A0)+
001b2d 0020b8: 5380                : subq.l  #1, D0
001b2e 0020ba: 66fa                : bne     $20b6
001b2f 0020b6: 20dc                : move.l  (A4)+, (A0)+
